 INDEX;LOCATOR;TYPE;C;NAME                          ;LAT   ;LON    ;ELEV;DD.MM.YYYY HH:mm;DIR;K; FF; FG;G1h;G10; FX;FX1;FFM;  TL;  TD;  T5;  TX;  TN; TX6; TN6; TX1; TN1; TN5;  TW;Tsfc;T-05;T-10;T-20;T-50;T-1m; RR6h;   QFE;   QFF; QNH;  AP;A;www;960;961;962;963;           MetarWX;W1;W2;     WWZ; LTNG; VIS;COV;N;L;HLC;   ClCmCh;LAYER1;LAYER2;LAYER3;LAYER4;CLG;     PIC;VCLOUD1;VCLOUD2;VCLOUD3;VCLOUD4;  VFOG;   RR;TR;RR10m; RR1h;hh;RR24h;WRTR;SNO;NEW;SR;GS;SS24;Sh;S10;GL24;DF24;LW24;GL1h;DF1h;LW1h;GL10;DF10;LW10;  HW;PW;DW1; HW1;P1;DW2; HW2;P2;  HS;PS;I;B;
085700;      /;SYNO;S;Castelo Branco                ;N39 50;W007 29; 384;17.11.2015 06:00;360;/; 10;  /;  /;  /;  /;  /;  /;  89;  86;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.5;   /;   0;4;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1146;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085670;      /;SYNO;S;Vila Real                     ;N41 16;W007 43; 562;17.11.2015 06:00;360;/; 10;  /;  /;  /;  /;  /;  /;  53;  51;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1029.4;   /;  -2;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.2;12;    /;    0; /;    /;   /;  0;  /; /; /;   /; /;  /; 877;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085580;      /;SYNO;S;Evora/C.Coord                 ;N38 32;W007 54; 246;17.11.2015 06:00;360;/; 20;  /;  /;  /;  /;  /;  /;  78;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.0;   /;   0;4;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1090;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085540;      /;SYNO;S;Faro/Aeroporto                ;N37 01;W007 58;   8;17.11.2015 06:00;  0;/;  0;  /;  /;  /;  /;  /;  /; 129; 103;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1024.8;   /;   0;4;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  15;SKC;0;0;  /;        /;     /;     /;     /;     /;SKC;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1230;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085480;      /;SYNO;S;Ciombra/Cervache              ;N40 09;W008 28; 179;17.11.2015 06:00;  0;/; 30;  /;  /;  /;  /;  /;  /;  82;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.6;   /;  -3;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.1;12;    /;    0; /;    /;   /;  0;  /; /; /;   /; /;  /;1080;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085410;      /;SYNO;S;Sines/Montes Chaos            ;N37 57;W008 52; 103;17.11.2015 06:00; 10;/; 30;  /;  /;  /;  /;  /;  /; 116;  94;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1025.9;   /;   0;4;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1200;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085310;      /;SYNO;S;Cabo Carvoeiro                ;N39 21;W009 24;  34;17.11.2015 06:00;360;/; 30;  /;  /;  /;  /;  /;  /; 122;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.3;   /;   0;4;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /; 925;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085240;      /;SYNO;S;Porto Santo                   ;N33 04;W016 21;  82;17.11.2015 06:00;340;/; 10;  /;  /;  /;  /;  /;  /; 166; 141;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.0;   /;  -3;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  20;SCT;3;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1150;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085220;      /;SYNO;S;Funchal                       ;N32 39;W016 54;  56;17.11.2015 06:00;  0;/; 20;  /;  /;  /;  /;  /;  /; 172; 107;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1026.0;   /;  -1;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1510;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085210;      /;SYNO;S;Funchal/Santa Catarina        ;N32 41;W016 47;  49;17.11.2015 06:00;340;/; 50;  /;  /;  /;  /;  /;  /; 181; 123;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1025.9;   /;  -1;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  20;FEW;1;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /;1450;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085150;      /;SYNO;S;Santa Maria                   ;N36 58;W025 10; 100;17.11.2015 06:00;360;/; 30;  /;  /;  /;  /;  /;  /; 183; 175;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1023.6;   /;   6;2;508;  /;  /;  /;  /;                 /; /; /;       /;    /;  15;BKN;7;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /; 790;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085110;      /;SYNO;S;Angra Do Heroismo             ;N38 40;W027 13;  76;17.11.2015 06:00;  0;/;  0;  /;  /;  /;  /;  /;  /; 182;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1019.9;   /;   1;2;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    3;12;    /;    0; /;    /;   /;  0;  /; /; /;   /; /;  /; 350;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085060;      /;SYNO;S;Horta                         ;N38 31;W028 38;  62;17.11.2015 06:00;230;/; 10;  /;  /;  /;  /;  /;  /; 157; 140;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1020.1;   /;  -2;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;  0.1;12;    /;  0.1; /;    /;   /;  0;  /; /; /;   /; /;  /; 200;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
085010;      /;SYNO;S;Flores (Acores)               ;N39 27;W031 08;  29;17.11.2015 06:00;  0;/; 10;  /;  /;  /;  /;  /;  /; 164; 135;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;1016.9;   /;  -9;7;508;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    0; /;    0;   /;  0;  /; /; /;   /; /;  /; 580;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
081170;      /;SYNO;S;La Molina                     ;N42 20;E001 56;1702;17.11.2015 06:00;120;/; 17;  /;  /;  /;  /;  /;  /;  52; -79;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;   1;/;  /;  /;  /;  /;  /;                 /; /; /;       /;    /;  20;  /;/;/;  /;        /;     /;     /;     /;     /;  /;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;   ~0;   /;  /;  /; /; /;   /; 0;  /;1094;   /;   /;   0;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175500;      /;SYNO;R;Yenierenkoy                   ;N35 32;E034 11; 110;17.11.2015 06:00;  0;/;  0;  /;  /;  /;  /;  /;  /; 168; 124;   /;   /; 158;   /;   /;   /;   /; 140;   /;   /;   /;   /;   /;   /;   /;    /;     /;1012.4;   /;  19;2; 10;  /;  /;  /;  /;                BR; /; /;       /;    /;   /;BKN;5;5;  /;        /;     /;     /;     /;     /;BKN;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 330; /;  /;1011;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175400;      /;SYNO;R;Gazi Magusa                   ;N35 05;E033 33;   2;17.11.2015 06:00;350;/; 41;  /;  /;  /;  /;  /;  /; 206; 150;   /;   /; 188;   /;   /;   /;   /; 170;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.2;   /;  18;2; 10;  /;  /;  /;  /;                BR; /; /;       /;    /;   /;BKN;6;2;  /;        /;     /;     /;     /;     /;FEW;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 162; /;  /; 880;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175350;      /;SYNO;R;Iskele                        ;N35 17;E033 53;  30;17.11.2015 06:00; 10;/; 15;  /;  /;  /;  /;  /;  /; 174; 118;   /;   /; 163;   /;   /;   /;   /; 140;   /;   /;   /;   /;   /;   /;   /;    /;     /;1011.7;   /;  18;2; 10;  /;  /;  /;  /;                BR; /; /;       /;    /;   /;BKN;5;5;  /;        /;     /;     /;     /;     /;BKN;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 120; /;  /; 910;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175150;      /;SYNO;R;Lefkopa                       ;N35 11;E033 21; 131;17.11.2015 06:00;140;/; 15;  /;  /;  /;  /;  /;  /; 155; 108;   /;   /; 133;   /;   /;   /;   /; 100;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.6;   /;  18;2; 10;  /;  /;  /;  /;                BR; /; /;       /;    /;   /;BKN;5;5;  /;        /;     /;     /;     /;     /;BKN;       /;      /;      /;      /;      /;     /;  0.1;12;    /;    /; /;  0.1;   /;  /;  /; /; /; 330; /;  /;1027;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175100;      /;SYNO;R;Girne                         ;N35 11;E033 11;  11;17.11.2015 06:00; 60;/; 31;  /;  /;  /;  /;  /;  /; 119;  99;   /;   /; 180;   /;   /;   /;   /; 100;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  19;2;  1;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;SCT;4;4;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    3;12;    /;    /; /;    3;   /;  /;  /; /; /; 138; /;  /; 705;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175050;      /;SYNO;R;Akdeniz                       ;N35 18;E032 58;  71;17.11.2015 06:00; 70;/; 26;  /;  /;  /;  /;  /;  /; 185;  95;   /;   /; 146;   /;   /;   /;   /; 120;   /;   /;   /;   /;   /;   /;   /;    /;     /;1013.6;   /;  19;2;  6;  /;  /;  /;  /;             DU/SA; /; /;       /;    /;   /;SCT;3;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 306; /;  /; 990;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175010;      /;SYNO;R;Lefke (Lefka)                 ;N35 06;E032 51; 133;17.11.2015 06:00;110;/; 15;  /;  /;  /;  /;  /;  /; 184; 124;   /;   /; 172;   /;   /;   /;   /; 150;   /;   /;   /;   /;   /;   /;   /;    /;     /;1012.7;   /;  21;2;  6;  /;  /;  /;  /;             DU/SA; /; /;       /;    /;   /;SCT;3;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 360; /;  /;1103;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
175000;      /;SYNO;R;Guzelyurt                     ;N35 07;E032 36;  48;17.11.2015 06:00;120;/; 21;  /;  /;  /;  /;  /;  /; 150; 114;   /;   /; 116;   /;   /;   /;   /;  80;   /;   /;   /;   /;   /;   /;   /;    /;     /;1012.8;   /;   9;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;FEW;1;0;  /;        /;     /;     /;     /;     /;HGH;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 354; /;  /;1018;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
173000;      /;SYNO;R;Antalya                       ;N36 52;E030 44;  64;17.11.2015 06:00;310;/; 46;  /;  /;  /;  /;  /;  /; 162;  18;   /;   /; 116;   /;   /;   /;   /;  80;   /;   /;   /;   /;   /;   /;   /;    /;     /;1013.8;   /;  18;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;FEW;1;1;  /;        /;     /;     /;     /;     /;FEW;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /;  84; /;  /; 448;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172920;      /;SYNO;R;Mugla                         ;N37 13;E028 22; 646;17.11.2015 06:00;350;/; 10; 62;  /;  /;  /;  /;  /; 124;  22;   /;   /; 107;   /;   /;   /;   /;  70;   /;   /;   /;   /;   /;   /;   /;    /;     /;1015.5;   /;  16;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;SKC;0;0;  /;        /;     /;     /;     /;     /;SKC;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 162; /;  /; 703;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172870;      /;SYNO;R;Sirnak                        ;N37 31;E042 27;1350;17.11.2015 06:00;120;/; 10; 36;  /;  /;  /;  /;  /;  64;  55;   /;   /;  52;   /;   /;   /;   /;  50;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  16;2; 60;  /;  /;  /;  /;               -RA; /; /;       /;    /;   /;OVC;8;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;   19;12;    /;    /; /; 20.6;   /;  /;  /; /; /;  60; /;  /; 481;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172850;      /;SYNO;R;Hakkari                       ;N37 34;E043 46;1728;17.11.2015 06:00;140;/; 10; 26;  /;  /;  /;  /;  /;  21;  14;   /;   /;  18;   /;   /;   /;   /;  20;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;  11;2; 60;  /;  /;  /;  /;               -RA; /; /;       /;    /;   /;OVC;8;4;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    9;12;    /;    /; /;  9.4;   /;  /;  /; /; /; 246; /;  /;1084;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172800;      /;SYNO;R;Diyarbakir                    ;N37 53;E040 12; 674;17.11.2015 06:00;  0;/;  0; 26;  /;  /;  /;  /;  /;  92;  85;   /;   /;  85;   /;   /;   /;   /;  90;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.6;   /;  12;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;BKN;7;4;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    3;12;    /;    /; /;  3.4;   /;  /;  /; /; /;  36; /;  /; 419;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172620;      /;SYNO;R;Kilis                         ;N36 43;E037 07; 638;17.11.2015 06:00; 50;/; 15; 41;  /;  /;  /;  /;  /; 109;  76;   /;   /;  96;   /;   /;   /;   /;  90;   /;   /;   /;   /;   /;   /;   /;    /;     /;1016.0;   /;  10;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;BKN;6;4;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 150; /;  /; 615;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172600;      /;SYNO;R;Gaziantep                     ;N37 05;E037 22; 701;17.11.2015 06:00;  0;/;  0; 77;  /;  /;  /;  /;  /; 102;  78;   /;   /;  96;   /;   /;   /;   /;  70;   /;   /;   /;   /;   /;   /;   /;    /;     /;1014.4;   /;   7;3;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;BKN;7;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 246; /;  /; 846;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
172500;      /;SYNO;R;Nigde                         ;N37 58;E034 41;1210;17.11.2015 06:00; 80;/; 26; 62;  /;  /;  /;  /;  /;  80;  -2;   /;   /;  33;   /;   /;   /;   /;  10;   /;   /;   /;   /;   /;   /;   /;    /;     /;     /;   /;   8;2;  2;  /;  /;  /;  /;                 /; /; /;       /;    /;   /;BKN;5;3;  /;        /;     /;     /;     /;     /;SCT;       /;      /;      /;      /;      /;     /;    0;12;    /;    /; /;    /;   /;  /;  /; /; /; 594; /;  /;1382;   /;   /;   /;   /;   /;   /;   /;   /;   /; /;  /;   /; /;  /;   /; /;   /; /;/;/;
